角度x（单位：度）	:	 余弦值（cos（x））
0	:	 256
1	:	 255
2	:	 255
3	:	 255
4	:	 255
5	:	 255
6	:	 254
7	:	 254
8	:	 253
9	:	 252
10	:	 252
11	:	 251
12	:	 250
13	:	 249
14	:	 248
15	:	 247
16	:	 246
17	:	 244
18	:	 243
19	:	 242
20	:	 240
21	:	 238
22	:	 237
23	:	 235
24	:	 233
25	:	 232
26	:	 230
27	:	 228
28	:	 226
29	:	 223
30	:	 221
31	:	 219
32	:	 217
33	:	 214
34	:	 212
35	:	 209
36	:	 207
37	:	 204
38	:	 201
39	:	 198
40	:	 196
41	:	 193
42	:	 190
43	:	 187
44	:	 184
45	:	 181
46	:	 177
47	:	 174
48	:	 171
49	:	 167
50	:	 164
51	:	 161
52	:	 157
53	:	 154
54	:	 150
55	:	 146
56	:	 143
57	:	 139
58	:	 135
59	:	 131
60	:	 128
61	:	 124
62	:	 120
63	:	 116
64	:	 112
65	:	 108
66	:	 104
67	:	 100
68	:	 95
69	:	 91
70	:	 87
71	:	 83
72	:	 79
73	:	 74
74	:	 70
75	:	 66
76	:	 61
77	:	 57
78	:	 53
79	:	 48
80	:	 44
81	:	 40
82	:	 35
83	:	 31
84	:	 26
85	:	 22
86	:	 17
87	:	 13
88	:	 8
89	:	 4
90	:	 0
91	:	 -4
92	:	 -8
93	:	 -13
94	:	 -17
95	:	 -22
96	:	 -26
97	:	 -31
98	:	 -35
99	:	 -40
100	:	 -44
101	:	 -48
102	:	 -53
103	:	 -57
104	:	 -61
105	:	 -66
106	:	 -70
107	:	 -74
108	:	 -79
109	:	 -83
110	:	 -87
111	:	 -91
112	:	 -95
113	:	 -100
114	:	 -104
115	:	 -108
116	:	 -112
117	:	 -116
118	:	 -120
119	:	 -124
120	:	 -127
121	:	 -131
122	:	 -135
123	:	 -139
124	:	 -143
125	:	 -146
126	:	 -150
127	:	 -154
128	:	 -157
129	:	 -161
130	:	 -164
131	:	 -167
132	:	 -171
133	:	 -174
134	:	 -177
135	:	 -181
136	:	 -184
137	:	 -187
138	:	 -190
139	:	 -193
140	:	 -196
141	:	 -198
142	:	 -201
143	:	 -204
144	:	 -207
145	:	 -209
146	:	 -212
147	:	 -214
148	:	 -217
149	:	 -219
150	:	 -221
151	:	 -223
152	:	 -226
153	:	 -228
154	:	 -230
155	:	 -232
156	:	 -233
157	:	 -235
158	:	 -237
159	:	 -238
160	:	 -240
161	:	 -242
162	:	 -243
163	:	 -244
164	:	 -246
165	:	 -247
166	:	 -248
167	:	 -249
168	:	 -250
169	:	 -251
170	:	 -252
171	:	 -252
172	:	 -253
173	:	 -254
174	:	 -254
175	:	 -255
176	:	 -255
177	:	 -255
178	:	 -255
179	:	 -255
180	:	 -256
181	:	 -255
182	:	 -255
183	:	 -255
184	:	 -255
185	:	 -255
186	:	 -254
187	:	 -254
188	:	 -253
189	:	 -252
190	:	 -252
191	:	 -251
192	:	 -250
193	:	 -249
194	:	 -248
195	:	 -247
196	:	 -246
197	:	 -244
198	:	 -243
199	:	 -242
200	:	 -240
201	:	 -238
202	:	 -237
203	:	 -235
204	:	 -233
205	:	 -232
206	:	 -230
207	:	 -228
208	:	 -226
209	:	 -223
210	:	 -221
211	:	 -219
212	:	 -217
213	:	 -214
214	:	 -212
215	:	 -209
216	:	 -207
217	:	 -204
218	:	 -201
219	:	 -198
220	:	 -196
221	:	 -193
222	:	 -190
223	:	 -187
224	:	 -184
225	:	 -181
226	:	 -177
227	:	 -174
228	:	 -171
229	:	 -167
230	:	 -164
231	:	 -161
232	:	 -157
233	:	 -154
234	:	 -150
235	:	 -146
236	:	 -143
237	:	 -139
238	:	 -135
239	:	 -131
240	:	 -127
241	:	 -124
242	:	 -120
243	:	 -116
244	:	 -112
245	:	 -108
246	:	 -104
247	:	 -100
248	:	 -95
249	:	 -91
250	:	 -87
251	:	 -83
252	:	 -79
253	:	 -74
254	:	 -70
255	:	 -66
256	:	 -61
257	:	 -57
258	:	 -53
259	:	 -48
260	:	 -44
261	:	 -40
262	:	 -35
263	:	 -31
264	:	 -26
265	:	 -22
266	:	 -17
267	:	 -13
268	:	 -8
269	:	 -4
270	:	 0
271	:	 4
272	:	 8
273	:	 13
274	:	 17
275	:	 22
276	:	 26
277	:	 31
278	:	 35
279	:	 40
280	:	 44
281	:	 48
282	:	 53
283	:	 57
284	:	 61
285	:	 66
286	:	 70
287	:	 74
288	:	 79
289	:	 83
290	:	 87
291	:	 91
292	:	 95
293	:	 100
294	:	 104
295	:	 108
296	:	 112
297	:	 116
298	:	 120
299	:	 124
300	:	 128
301	:	 131
302	:	 135
303	:	 139
304	:	 143
305	:	 146
306	:	 150
307	:	 154
308	:	 157
309	:	 161
310	:	 164
311	:	 167
312	:	 171
313	:	 174
314	:	 177
315	:	 181
316	:	 184
317	:	 187
318	:	 190
319	:	 193
320	:	 196
321	:	 198
322	:	 201
323	:	 204
324	:	 207
325	:	 209
326	:	 212
327	:	 214
328	:	 217
329	:	 219
330	:	 221
331	:	 223
332	:	 226
333	:	 228
334	:	 230
335	:	 232
336	:	 233
337	:	 235
338	:	 237
339	:	 238
340	:	 240
341	:	 242
342	:	 243
343	:	 244
344	:	 246
345	:	 247
346	:	 248
347	:	 249
348	:	 250
349	:	 251
350	:	 252
351	:	 252
352	:	 253
353	:	 254
354	:	 254
355	:	 255
356	:	 255
357	:	 255
358	:	 255
359	:	 255
