角度x（单位：度）	:	 正弦值（sin（x））
0	:	 0
1	:	 4
2	:	 8
3	:	 13
4	:	 17
5	:	 22
6	:	 26
7	:	 31
8	:	 35
9	:	 40
10	:	 44
11	:	 48
12	:	 53
13	:	 57
14	:	 61
15	:	 66
16	:	 70
17	:	 74
18	:	 79
19	:	 83
20	:	 87
21	:	 91
22	:	 95
23	:	 100
24	:	 104
25	:	 108
26	:	 112
27	:	 116
28	:	 120
29	:	 124
30	:	 127
31	:	 131
32	:	 135
33	:	 139
34	:	 143
35	:	 146
36	:	 150
37	:	 154
38	:	 157
39	:	 161
40	:	 164
41	:	 167
42	:	 171
43	:	 174
44	:	 177
45	:	 181
46	:	 184
47	:	 187
48	:	 190
49	:	 193
50	:	 196
51	:	 198
52	:	 201
53	:	 204
54	:	 207
55	:	 209
56	:	 212
57	:	 214
58	:	 217
59	:	 219
60	:	 221
61	:	 223
62	:	 226
63	:	 228
64	:	 230
65	:	 232
66	:	 233
67	:	 235
68	:	 237
69	:	 238
70	:	 240
71	:	 242
72	:	 243
73	:	 244
74	:	 246
75	:	 247
76	:	 248
77	:	 249
78	:	 250
79	:	 251
80	:	 252
81	:	 252
82	:	 253
83	:	 254
84	:	 254
85	:	 255
86	:	 255
87	:	 255
88	:	 255
89	:	 255
90	:	 256
91	:	 255
92	:	 255
93	:	 255
94	:	 255
95	:	 255
96	:	 254
97	:	 254
98	:	 253
99	:	 252
100	:	 252
101	:	 251
102	:	 250
103	:	 249
104	:	 248
105	:	 247
106	:	 246
107	:	 244
108	:	 243
109	:	 242
110	:	 240
111	:	 238
112	:	 237
113	:	 235
114	:	 233
115	:	 232
116	:	 230
117	:	 228
118	:	 226
119	:	 223
120	:	 221
121	:	 219
122	:	 217
123	:	 214
124	:	 212
125	:	 209
126	:	 207
127	:	 204
128	:	 201
129	:	 198
130	:	 196
131	:	 193
132	:	 190
133	:	 187
134	:	 184
135	:	 181
136	:	 177
137	:	 174
138	:	 171
139	:	 167
140	:	 164
141	:	 161
142	:	 157
143	:	 154
144	:	 150
145	:	 146
146	:	 143
147	:	 139
148	:	 135
149	:	 131
150	:	 127
151	:	 124
152	:	 120
153	:	 116
154	:	 112
155	:	 108
156	:	 104
157	:	 100
158	:	 95
159	:	 91
160	:	 87
161	:	 83
162	:	 79
163	:	 74
164	:	 70
165	:	 66
166	:	 61
167	:	 57
168	:	 53
169	:	 48
170	:	 44
171	:	 40
172	:	 35
173	:	 31
174	:	 26
175	:	 22
176	:	 17
177	:	 13
178	:	 8
179	:	 4
180	:	 0
181	:	 -4
182	:	 -8
183	:	 -13
184	:	 -17
185	:	 -22
186	:	 -26
187	:	 -31
188	:	 -35
189	:	 -40
190	:	 -44
191	:	 -48
192	:	 -53
193	:	 -57
194	:	 -61
195	:	 -66
196	:	 -70
197	:	 -74
198	:	 -79
199	:	 -83
200	:	 -87
201	:	 -91
202	:	 -95
203	:	 -100
204	:	 -104
205	:	 -108
206	:	 -112
207	:	 -116
208	:	 -120
209	:	 -124
210	:	 -127
211	:	 -131
212	:	 -135
213	:	 -139
214	:	 -143
215	:	 -146
216	:	 -150
217	:	 -154
218	:	 -157
219	:	 -161
220	:	 -164
221	:	 -167
222	:	 -171
223	:	 -174
224	:	 -177
225	:	 -181
226	:	 -184
227	:	 -187
228	:	 -190
229	:	 -193
230	:	 -196
231	:	 -198
232	:	 -201
233	:	 -204
234	:	 -207
235	:	 -209
236	:	 -212
237	:	 -214
238	:	 -217
239	:	 -219
240	:	 -221
241	:	 -223
242	:	 -226
243	:	 -228
244	:	 -230
245	:	 -232
246	:	 -233
247	:	 -235
248	:	 -237
249	:	 -238
250	:	 -240
251	:	 -242
252	:	 -243
253	:	 -244
254	:	 -246
255	:	 -247
256	:	 -248
257	:	 -249
258	:	 -250
259	:	 -251
260	:	 -252
261	:	 -252
262	:	 -253
263	:	 -254
264	:	 -254
265	:	 -255
266	:	 -255
267	:	 -255
268	:	 -255
269	:	 -255
270	:	 -256
271	:	 -255
272	:	 -255
273	:	 -255
274	:	 -255
275	:	 -255
276	:	 -254
277	:	 -254
278	:	 -253
279	:	 -252
280	:	 -252
281	:	 -251
282	:	 -250
283	:	 -249
284	:	 -248
285	:	 -247
286	:	 -246
287	:	 -244
288	:	 -243
289	:	 -242
290	:	 -240
291	:	 -238
292	:	 -237
293	:	 -235
294	:	 -233
295	:	 -232
296	:	 -230
297	:	 -228
298	:	 -226
299	:	 -223
300	:	 -221
301	:	 -219
302	:	 -217
303	:	 -214
304	:	 -212
305	:	 -209
306	:	 -207
307	:	 -204
308	:	 -201
309	:	 -198
310	:	 -196
311	:	 -193
312	:	 -190
313	:	 -187
314	:	 -184
315	:	 -181
316	:	 -177
317	:	 -174
318	:	 -171
319	:	 -167
320	:	 -164
321	:	 -161
322	:	 -157
323	:	 -154
324	:	 -150
325	:	 -146
326	:	 -143
327	:	 -139
328	:	 -135
329	:	 -131
330	:	 -128
331	:	 -124
332	:	 -120
333	:	 -116
334	:	 -112
335	:	 -108
336	:	 -104
337	:	 -100
338	:	 -95
339	:	 -91
340	:	 -87
341	:	 -83
342	:	 -79
343	:	 -74
344	:	 -70
345	:	 -66
346	:	 -61
347	:	 -57
348	:	 -53
349	:	 -48
350	:	 -44
351	:	 -40
352	:	 -35
353	:	 -31
354	:	 -26
355	:	 -22
356	:	 -17
357	:	 -13
358	:	 -8
359	:	 -4
